Reference	Localized Group	Message	Selections	
figs-abstractnouns_1_10__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	जिस पर हमने अपनी आशा लगाई है-1	
figs-abstractnouns_1_11__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	हमारी ओर से विनती करने में-1	
figs-abstractnouns_1_11__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	हम को जो अनुग्रहकारी वरदान प्राप्त हुआ है,-1	
figs-abstractnouns_1_12__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	हमारे विवेक की गवाही-1	
figs-abstractnouns_1_12__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	परमेश्वर की पवित्रता और ईमानदारी से-1	
figs-abstractnouns_1_12__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	शारीरिक बुद्धि में होकर नहीं-1	
figs-abstractnouns_1_12__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	परमेश्वर के उस अनुग्रह में होकर-1	
figs-abstractnouns_1_15__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	इसी भरोसे के साथ-1	
figs-abstractnouns_1_20__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	परमेश्वर की महिमा के लिए-1	
figs-abstractnouns_1_24__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	हम तुम्हारे विश्वास पर अधिकार जताना चाहते हैं-1	
figs-abstractnouns_1_24__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	तुम्हारे आनन्द के लिए-1	
figs-abstractnouns_1_24__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	विश्वास में-1	
figs-abstractnouns_1_2__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	तुम पर अनुग्रह हो और हमारे परमेश्वर पिता और प्रभु यीशु मसीह की ओर से तुम्हें शांति मिले।-1	
figs-abstractnouns_1_3__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	दया का पिता और सब प्रकार की शांति का परमेश्वर-1	
figs-abstractnouns_1_4__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	जो हमारे सब क्लेशों में हमें शांति प्रदान करता है ताकि हम-1 हर क्लेश में पड़े उन लोगों को शांति देने में सक्षम हों-1	
figs-abstractnouns_1_6__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	{यह} तुम्हारी शांति और उद्धार के लिए है-1	
figs-abstractnouns_1_6__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	उन्हीं क्लेशों का अनुभव करते हो-1	
figs-abstractnouns_1_6__2	Abstract Nouns	unable to migrate selection, no match found for check in new resources	{यह} तुम्हारी शांति और उद्धार के लिए है-1	
figs-abstractnouns_1_7__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	और तुम्हारे विषय में हमारी आशा यह जानते हुए दृढ़ {है}-1	
figs-abstractnouns_1_7__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	वैसे ही, उस शांति के भी सहभागी हो।-1	
figs-abstractnouns_1_8__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	हम पर हुए उस सताव से-1	
figs-abstractnouns_2_13__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	मेरी आत्मा में मुझे चैन नहीं मिला-1	
figs-abstractnouns_2_14__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	अपने ज्ञान की-1	
figs-abstractnouns_2_16__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	मृत्यु से मृत्यु की-1 जीवन से जीवन की-1	
figs-abstractnouns_2_17__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ईमानदारी से,-1	
figs-abstractnouns_2_1__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	दुःख में-1	
figs-abstractnouns_2_3__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	मैं-2 शोकित न होऊँ-1	
figs-abstractnouns_2_3__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	भरोसा है-1	
figs-abstractnouns_2_3__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	मेरा आनन्द तुम सब का {आनन्द} भी है-1	
figs-abstractnouns_2_4__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	बड़े क्लेश और हृदय की वेदना में होकर-1	
figs-abstractnouns_2_4__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	उस प्रेम को-1 जो मुझे तुम से बहुतायत से भी अधिक है।-1	
figs-abstractnouns_2_5__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	दुःख दिया है-1	
figs-abstractnouns_2_7__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	अपने अत्यधिक दुःख में-1	
figs-abstractnouns_2_8__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	तुम-2 प्रति-1 प्रेम को-1	
figs-abstractnouns_2_9__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	तुम्हारा-1 प्रमाण-1	
figs-abstractnouns_3_1__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	सिफारिश की पत्रियों-1	
figs-abstractnouns_3_4__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	हमें-1 ऐसा भरोसा होता है-1	
figs-abstractnouns_3_5__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	हमारी पर्याप्तता उस परमेश्वर की ओर से {है},-1	
figs-abstractnouns_3_7__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	{इस} मृत्यु की सेवकाई-1	
figs-abstractnouns_3_7__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	इतनी तेजोमय हुई-1	
figs-abstractnouns_3_8__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	अधिक तेजोमय-1	
figs-abstractnouns_3_9__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	यह दोषी ठहराने वाली सेवकाई तेजोमय {थी}-1	
